Word,Furigana,Meaning,Level
筋肉,きんにく,근육,N1
鉄筋,てっきん,철근,N1
筋骨,きんこつ,근골,N1
大筋,おおすじ,(대략적인)줄거리/요점,N1
一筋,ひとすじ,한 줄기/외줄기,N1
闘,とう,,N1
志,し,투지,N1
闘争,とうそう,투쟁,N1
戦闘,せんとう,전투,N1
巨悪,きょあく,と,N1
闘,たたか,う 거악에 맞서 투쟁하다,N1
戦,たたか,"う는 ""승패나 우열을 가르는 것""을 뜻합니다.",N1
闘,たたか,"う는 ""곤란, 불의 등에 맞서 싸우는 것""을 뜻합니다.",N1
埋葬,まいそう,매장,N1
葬,そう,,N1
儀,ぎ,장의(장례식),N1
火,か,,N1
葬,そう,화장,N1
国葬,こくそう,국장,N1
避,ひ,,N1
難,なん,피난,N1
逃,とう,,N1
避,ひ,도피,N1
回,かい,,N1
避,ひ,회피,N1
不可避,ふかひ,불가피,N1
逮,たい,,N1
捕,ほ,체포,N1
迫害,はくがい,박해,N1
脅,きょう,,N1
迫,はく,협박,N1
切迫,せっぱく,절박,N1
迫,はく,,N1
力,りょく,박력,N1
緊迫,きんぱく,긴박,N1
迷惑,めいわく,귀찮음/성가심,N1
誘惑,ゆうわく,유혹,N1
疑,ぎ,,N1
惑,わく,의혹,N1
崩壊,ほうかい,붕괴,N1
建物,たてもの,が,N1
崩,くず,れる 건물이 무너지다,N1
土,ど,,N1
壁,へき,を,N1
崩,くず,す 토벽을 허물다,N1
世,せい,,N1
紀,き,세기,N1
紀,き,,N1
元,げん,기원,N1
仏,ぶっ,,N1
紀,き,불기,N1
紀,き,,N1
伝,でん,기전(전기),N1
西,せい,,N1
紀,き,서기(서력),N1
聴,ちょう,,N1
覚,かく,청각,N1
聴力,ちょうりょく,청력,N1
視,し,,N1
聴,ちょう,시청,N1
説明,せつめい,を,N1
聴,き,きながらメモを,N1
取,と,る 설명을 귀담아들으며 메모하다,N1
解,げ,,N1
脱,だつ,해탈,N1
脱落,だつらく,탈락,N1
脱,だつ,,N1
衣,い,탈의,N1
脱,だっ,,N1
出,しゅつ,탈출,N1
脱退,だったい,탈퇴,N1
脱,ぬ,ぐ 코트를 벗다,N1
帽,ぼう,,N1
子,し,が,N1
脱,ぬ,げる 모자가 벗겨지다,N1
博,はく,,N1
士,し,박사,N1
博識,はくしき,박식,N1
該博,がいはく,해박,N1
博学,はくがく,박학,N1
賭,と,,N1
博,ばく,도박,N1
博,ばく,,N1
徒,と,노름꾼,N1
患者,かんじゃ,환자,N1
疾患,しっかん,질환,N1
締結,ていけつ,체결,N1
固,こ,,N1
執,しつ,고집,N1
執拗,しつよう,집요,N1
執行,しっこう,집행,N1
執着,しゅうちゃく,집착,N1
執,しゅう,,N1
念,ねん,집념,N1
