Word,Furigana,Meaning,Level
懸垂幕,けんすいまく,현수막,etc
懸賞金,けんしょうきん,현상금,etc
懸念,けねん,괘념/걱정/근심,etc
懸想,けそう,사모/연모,etc
市街地,しがいち,시가지,etc
地下街,ちかがい,지하 상가,etc
街頭,がいとう,가두,N1
街道,かいどう,가도,N1
契約,けいやく,계약,N3
契機,けいき,계기,N2
黙契,もっけい,묵계,etc
掲示,けいじ,게시,N2
掲載,けいさい,게재,N1
掲揚,けいよう,게양,etc
跳躍,ちょうやく,도약,etc
躍進,やくしん,약진,etc
躍動,やくどう,약동,etc
棄権,きけん,기권,N1
棄却,ききゃく,기각,etc
廃棄,はいき,폐기,N1
遺棄,いき,유기,etc
邸宅,ていたく,저택,N1
私邸,してい,사저,etc
官邸,かんてい,관저,etc
戸籍,こせき,호적,N1
本籍,ほんせき,본적,etc
国籍,こくせき,국적,N2
書籍,しょせき,서적,N2
縮小,しゅくしょう,축소,N3
短縮,たんしゅく,단축,N1
圧縮,あっしゅく,압축,N2
還元,かんげん,환원,N1
生還,せいかん,생환,etc
帰還,きかん,귀환,etc
所属,しょぞく,소속,N1
属性,ぞくせい,속성,etc
従属,じゅうぞく,종속,etc
遠慮,えんりょ,사양/겸손,N4
考慮,こうりょ,고려,N2
配慮,はいりょ,배려,N1
枠,わく,테두리/틀,N1
窓枠,まどわく,창틀,etc
露出,ろしゅつ,노출,N2
露店,ろてん,노점,etc
露骨,ろこつ,노골,N1
披露,ひろう,피로/공표함/펴 보임,N1
露,つゆ,이슬,N1
夜露,よつゆ,밤이슬,etc
沖天,ちゅうてん,충천,etc
沖縄県,おきなわけん,오키나와 현,etc
緩急,かんきゅう,완급,etc
緩和,かんわ,완화,N1
緩慢,かんまん,완만,etc
需要,じゅよう,수요,N2
必需品,ひつじゅひん,필수품,N2
射撃,しゃげき,사격,etc
発射,はっしゃ,발사,N2
注射,ちゅうしゃ,주사,N3
購入,こうにゅう,구입,N1
購買,こうばい,구매,N1
購読,こうどく,구독,N1
指揮,しき,지휘,N1
発揮,はっき,발휘,N2
揮発,きはつ,휘발,etc
充電,じゅうでん,충전,N2
充実,じゅうじつ,충실,N1
補充,ほじゅう,보충,N1
痕跡,こんせき,흔적,etc
追跡,ついせき,추적,N1
奇跡,きせき,기적,N1
遺跡,いせき,유적,N1
足跡,あしあと,발자취/종적,N3
跡継ぎ,あとつぎ,후계자/대를 이을 아들,etc
貢献,こうけん,공헌,N2
年貢,ねんぐ,연공/소작료,etc
鹿,しか,사슴,N2
馬鹿,ばか,바보,N2
却下,きゃっか,각하,N1
退却,たいきゃく,퇴각,etc
売却,ばいきゃく,매각,etc
棄却,ききゃく,기각,etc
端正,たんせい,단정,etc
末端,まったん,말단,etc
先端,せんたん,첨단,N2
片端,かたはし,한쪽 끝,etc
中途半端,ちゅうとはんぱ,어중간함/흐지부지,N1
川端,かわばた,강가,etc
獲得,かくとく,획득,N1
捕獲,ほかく,포획,N1
郡役所,ぐんやくしょ,군청,etc
併行,へいこう,병행,N3
併合,へいごう,병합,etc
合併,がっぺい,합병,N1
併用,へいよう,병용,etc
徹底,てってい,철저,N2
徹夜,てつや,철야,N2
貫徹,かんてつ,관철,etc
貴重,きちょう,귀중,N2
尊貴,そんき,존귀,etc
貴族,きぞく,귀족,N1
衝撃,しょうげき,충격,N1
衝突,しょうとつ,충돌,N2
衝動,しょうどう,충동,etc
焦点,しょうてん,초점,N2
焦燥,しょうそう,초조,etc
奪取,だっしゅ,탈취,etc
争奪,そうだつ,쟁탈,etc
奪還,だっかん,탈환,etc
略奪,りゃくだつ,약탈,N1
剝奪,はくだつ,박탈,etc
強奪,ごうだつ,강탈,etc
災害,さいがい,재해,N1
災難,さいなん,재난,N2
災い,わざわい,재앙/재난/화,etc
浦辺,うらべ,바닷가/해변,etc
浦風,うらかぜ,갯바람,etc
津々浦々,つつうらうら,방방곡곡,etc
分析,ぶんせき,분석,N2
解析,かいせき,해석,etc
譲歩,じょうほ,양보,N1
譲渡,じょうと,양도,etc
謙譲,けんじょう,겸양,etc
称賛,しょうさん,칭찬,etc
名称,めいしょう,명칭,N1
称号,しょうごう,칭호,etc
愛称,あいしょう,애칭,etc
納入,のうにゅう,납입,N1
納得,なっとく,납득,N2
納屋,なや,헛간,etc
納戸,なんど,의복/가구 등을 넣어두는 방,etc
出納,すいとう,출납,etc
樹木,じゅもく,수목,N1
樹立,じゅりつ,수립,N1
果樹園,かじゅえん,과수원,etc
挑戦,ちょうせん,도전,N1
挑発,ちょうはつ,도발,etc
誘惑,ゆうわく,유혹,N1
勧誘,かんゆう,권유,N1
誘導,ゆうどう,유도,N1
誘発,ゆうはつ,유발,etc
紛失,ふんしつ,분실,N1
紛争,ふんそう,분쟁,N1
内紛,ないふん,내분,etc
至極,しごく,지극,etc
至尊,しそん,지존,etc
至上命令,しじょうめいれい,지상명령,etc
冬至,とうじ,동지,etc
夏至,げし,하지,etc
宗教,しゅうきょう,종교,N2
