Word,Furigana,Meaning,Level
功績,こうせき,공적,N1
成功,せいこう,성공,N1
功労,こうろう,공로,N1
功徳,くどく,공덕,N1
拠点,きょてん,거점,N1
占拠,せんきょ,점거,N1
根拠,こんきょ,근거,N1
証拠,しょうこ,증거,N1
秘密,ひみつ,비밀,N1
神秘,しんぴ,신비,N1
秘訣,ひけつ,비결,N1
拒否,きょひ,거부,N1
拒絶,きょぜつ,거절,N1
刑罰,けいばつ,형벌,N1
死刑,しけい,사형,N1
処刑,しょけい,처형,N1
塚穴,つかあな,시체를 묻는 구덩이,N1
貝塚,かいづか,패총(조개무지),N1
極致,きょくち,극치,N1
一致,いっち,일치,N1
合致,がっち,합치,N1
誘致,ゆうち,유치,N1
拉致,らち,납치,N1
致命的,ちめいてき,치명적,N1
尾行,びこう,미행,N1
末尾,まつび,말미,N1
交尾,こうび,교미,N1
描写,びょうしゃ,묘사,N1
素描,そびょう,소묘,N1
銀鈴,ぎんれい,은방울,N1
電鈴,でんれい,전령(벨),N1
風鈴,ふうりん,풍령,N1
鈴,りん,초인종,N1
鈴,すず,방울,N1
鈴虫,すずむし,방울벌레,N1
円盤,えんばん,원반,N1
羅針盤,らしんばん,나침반,N1
序盤,じょばん,초반,N1
中盤,ちゅうばん,중반,N1
終盤,しゅうばん,종반,N1
碁盤,ごばん,바둑판,N1
項目,こうもく,항목,N1
事項,じこう,사항,N1
条項,じょうこう,조항,N1
喪失,そうしつ,상실,N1
喪家,そうか,상가(초상집),N1
喪主,もしゅ,상주,N1
喪服,もふく,상복,N1
同伴,どうはん,동반,N1
伴侶,はんりょ,반려,N1
伴奏,ばんそう,반주,N1
養成,ようせい,양성,N1
栄養,えいよう,영양,N1
養育,よういく,양육,N1
一生懸命,いっしょうけんめい,열심히 함,N1
懸垂幕,けんすいまく,현수막,N1
懸賞金,けんしょうきん,현상금,N1
懸念,けねん,괘념/걱정/근심,N1
懸想,けそう,사모/연모,N1
市街地,しがいち,시가지,N1
地下街,ちかがい,지하 상가,N1
街頭,がいとう,가두,N1
街道,かいどう,가도,N1
契約,けいやく,계약,N1
契機,けいき,계기,N1
黙契,もっけい,묵계,N1
掲示,けいじ,게시,N1
掲載,けいさい,게재,N1
掲揚,けいよう,게양,N1
跳躍,ちょうやく,도약,N1
躍進,やくしん,약진,N1
躍動,やくどう,약동,N1
棄権,きけん,기권,N1
棄却,ききゃく,기각,N1
廃棄,はいき,폐기,N1
遺棄,いき,유기,N1
邸宅,ていたく,저택,N1
私邸,してい,사저,N1
官邸,かんてい,관저,N1
戸籍,こせき,호적,N1
本籍,ほんせき,본적,N1
国籍,こくせき,국적,N1
書籍,しょせき,서적,N1
縮小,しゅくしょう,축소,N1
短縮,たんしゅく,단축,N1
圧縮,あっしゅく,압축,N1
還元,かんげん,환원,N1
生還,せいかん,생환,N1
帰還,きかん,귀환,N1
所属,しょぞく,소속,N1
属性,ぞくせい,속성,N1
従属,じゅうぞく,종속,N1
遠慮,えんりょ,사양/겸손,N1
