Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
携,"[""휴대하다"", ""잡다"", ""끌다""]","[""ケイ""]","[""たずさ(える)、たずさ(わる)""]","[""이끌 휴""]",N1
診,"[""진찰하다""]","[""シン""]","[""み(る)""]","[""진찰할 진""]",N1
託,"[""부탁하다""]","[""タク""]",[],"[""부탁할 탁""]",N1
撮,"[""사진 찍다(촬영하다)""]","[""サツ""]","[""と(る)""]","[""모을 촬""]",N1
誕,"[""태어나다""]","[""タン""]",[],"[""낳을 탄""]",N1
侵,"[""침범하다"", ""침해하다""]","[""シン""]","[""おか(す)""]","[""침노할 침""]",N1
括,"[""묶다"", ""일괄의""]","[""カツ""]",[],"[""묶을 괄""]",N1
掛,"[""걸다"", ""걸리다""]",[],[],"[""걸 괘""]",N1
謝,"[""사례하다"", ""사과하다""]","[""シャ""]","[""あやま(る)""]","[""사례할 사""]",N1
孝,"[""효도하다""]",[],[],"[""효도 효""]",N1
駆,"[""몰다"", ""몰아내다""]","[""ク""]","[""か(ける)、か(る)""]","[""몰 구""]",N1
透,"[""투명하다"", ""꿰뚫다"", ""투과하다""]","[""トウ""]","[""す(く)、す(ける)、す(かす)""]","[""사무칠 투""]",N1
津,"[""넘치다"", ""진액""]","[""シン""]","[""つ""]","[""나루 진""]",N1
稲,"[""벼""]","[""トウ""]","[""いね、いな""]","[""벼 도""]",N1
裂,"[""찢다"", ""터지다"", ""균열""]","[""レツ""]","[""さ(く)、さ(ける)""]","[""찢어질 렬""]",N1
敏,"[""민첩하다"", ""재빠르다""]","[""ビン""]",[],"[""민첩할 민""]",N1
是,"[""옳다""]",[],[],"[""옳을 시""]",N1
排,"[""밀어내다"", ""배척하다""]","[""ハイ""]",[],"[""밀칠 배""]",N1
裕,"[""넉넉한"", ""너그러운""]","[""ユウ""]",[],"[""넉넉할 유""]",N1
堅,"[""단단하다"", ""굳다""]","[""ケン""]","[""かた(い)""]","[""굳을 견""]",N1
訳,"[""번역"", ""이유""]","[""ヤク""]","[""わけ""]","[""번역할 역""]",N1
芝,"[""잔디""]",[],"[""しば""]","[""지초 지""]",N1
綱,"[""밧줄"", ""일의 뼈대""]","[""コウ""]","[""つな""]","[""벼리 강""]",N1
典,"[""경전"", ""중요한 책"", ""기준"", ""규칙""]","[""テン""]",[],"[""법 전""]",N1
賀,"[""축하하다""]","[""ガ""]",[],"[""하례할 하""]",N1
扱,"[""다루다"", ""취급하다""]",[],"[""あつか(う)""]","[""거둘 급""]",N1
顧,"[""돌아보다"", ""돌이켜보다""]","[""コ""]","[""かえり(みる)""]","[""돌아볼 고""]",N1
訟,"[""소송하다""]","[""ショウ""]",[],"[""송사할 송""]",N1
戒,"[""경계하다"", ""금지하다"", ""계율""]","[""カイ""]","[""いまし(める)""]","[""경계할 계""]",N1
祉,"[""행복"", ""복지""]","[""シ""]",[],"[""복 지""]",N1
誉,"[""칭찬하다"", ""명예""]","[""ヨ""]","[""ほま(れ)""]","[""명예 예""]",N1
歓,"[""기쁨"", ""즐거움""]","[""カン""]",[],"[""기뻐할 환""]",N1
奏,"[""연주하다""]","[""ソウ""]","[""かな(でる)""]","[""아뢸 주""]",N1
勧,"[""권고하다"", ""장려하다""]","[""カン""]","[""すす(める)""]","[""권할 권""]",N1
騒,"[""시끄럽다"", ""소란하다""]","[""ソウ""]","[""さわ(ぐ)""]","[""떠들 소""]",N1
閥,"[""문벌"", ""파벌""]","[""バツ""]",[],"[""문벌 벌""]",N1
甲,"[""등딱지"", ""갑옷""]","[""コウ、カン""]",[],"[""갑옷 갑""]",N1
縄,"[""줄"", ""노끈""]","[""ジョウ""]","[""なわ""]","[""줄 승""]",N1
郷,"[""시골"", ""고향""]","[""キョウ、ゴウ""]",[],"[""시골 향""]",N1
揺,"[""흔들다"", ""움직이다"", ""흔들리다""]","[""ヨウ""]","[""ゆ(る)、ゆ(する)、ゆ(れる)、ゆ(らぐ)、ゆ(るぐ)、ゆ(さぶる)、ゆ(すぶる)""]","[""흔들릴 요""]",N1
免,"[""면하다"", ""허가하다""]","[""メン""]","[""まぬか(れる)""]","[""면할 면""]",N1
既,"[""이미"", ""벌써"", ""이전에""]","[""キ""]","[""すで(に)""]","[""이미 기""]",N1
薦,"[""천거하다"", ""추천하다""]","[""セン""]","[""すす(める)""]","[""천거할 천""]",N1
隣,"[""이웃하다""]","[""リン""]","[""とな(る)、となり""]","[""이웃 린""]",N1
華,"[""화려하다"", ""빛나다"", ""꽃""]","[""カ、ケ""]","[""はな""]","[""빛날 화""]",N1
範,"[""모범"", ""규범"", ""틀"", ""범위""]","[""ハン""]",[],"[""법 범""]",N1
隠,"[""숨다"", ""숨기다""]","[""イン""]","[""かく(す)、かく(れる)""]","[""숨을 은""]",N1
徳,"[""덕"", ""도덕""]",[],[],"[""덕 덕""]",N1
哲,"[""철학"", ""총명함"", ""사리에 밝음""]","[""テツ""]",[],"[""밝을 철""]",N1
杉,"[""삼나무""]",[],"[""すぎ""]","[""삼나무 삼""]",N1
里,"[""마을""]","[""リ""]","[""さと""]","[""마을 리""]",N1
釈,"[""해석하다"", ""설명하다""]","[""シャク""]",[],"[""풀 석""]",N1
己,"[""나"", ""자신""]","[""コ、キ""]","[""おのれ""]","[""몸 기""]",N1
妥,"[""타당하다"", ""온당하다""]","[""ダ""]",[],"[""온당할 타""]",N1
威,"[""두려움"", ""위엄"", ""권위""]","[""イ""]",[],"[""위엄 위""]",N1
豪,"[""호걸"", ""뛰어남""]","[""ゴウ""]",[],"[""호걸 호""]",N1
熊,"[""곰""]",[],"[""くま""]","[""곰 웅""]",N1
